Rang.Sistem,Rang.Pakar,Preccsion,Recall,Rouge_Score
"bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 21 februari 2020 dan kontra memori kasasi tanggal 3 maret 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri palembang tidak salah menerapkan hukum dengan pertimbangan. - bahwa judex facti telah benar menerapkan ketentuan pasal 59 ayat (1) huruf d dan ayat (7) undang-undang nomor 13 tahun 2003, karena jenis pekerjaan driver pada perusahaan tergugat telah ada lebih dari 3 (tiga) tahun, sehingga jenis pekerjaan driver pada perusahaan tidak dapat dibuat dengan perjanjian kerja waktu tertentu (pkwt), karenanya demi hukum hubungan kerja berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt);. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri palembang dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt belitang panen raya ii tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang-undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;",mahkamah agung berpendapat dalam hal ini pengadilan hubungan industrial pada pengadilan negeri palembang tidak salah menerapkan hukum.,0.824,0.071,0.131
"bahwa terhadap memori kasasi, termohon kasasi telah mengajukan kontra memori kasasi tanggal 18 maret 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 3 maret 2020 dan kontra memori kasasi tanggal 18 maret 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. - bahwa judex facti telah benar menerapkan ketentuan pasal 1 angka 15 undang undang nomor 13 tahun 2003 juncto ketentuan pasal 56 undang undang nomor 2 tahun 2004, karena hubungan hukum antar penggugat dengan tergugat didasarkan pada hubungan kemitraan kerja, bukan hubungan kerja, sehingga sudah tepat judex facti memberi putusan menyatakan pengadilan hubungan industrial tidak berwenang memeriksa, mengadili dan memutus perkara a quo;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi rudi antoro tersebut harus. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan bahwa judex facti telah benar menerapkan ketentuan pasal 1 angka 15 undang undang nomor 13 tahun 2003 juncto ketentuan pasal 56 undang undang nomor 2 tahun 2004, karena hubungan hukum antar penggugat dengan tergugat didasarkan pada hubungan kemitraan kerja, bukan hubungan kerja, sehingga sudah tepat judex facti memberi putusan menyatakan pengadilan hubungan industrial tidak berwenang memeriksa, mengadili dan memutus perkara a quo.",0.964,0.367,0.532
"bahwa terhadap memori kasasi, termohon kasasi telah mengajukan kontra memori kasasi tanggal 18 maret 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti secara saksama memori kasasi tanggal 3 maret 2020 dan kontra memori kasasi tanggal 18 maret 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. - bahwa judex facti telah benar menerapkan ketentuan pasal 1 angka 15 undang undang nomor 13 tahun 2003 juncto ketentuan pasal 56 undang undang nomor 2 tahun 2004, karena hubungan hukum antar penggugat dengan tergugat didasarkan pada hubungan kemitraan kerja, bukan hubungan kerja, sehingga sudah tepat judex facti memberi putusan menyatakan pengadilan hubungan industrial tidak berwenang memeriksa, mengadili dan memutus perkara a quo;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi rudi antoro tersebut harus. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa dalam hal ini pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum dengan pertimbangan bahwa judex facti telah benar menerapkan ketentuan pasal 1 angka 15 undang undang nomor 13 tahun 2003 juncto ketentuan pasal 56 undang undang nomor 2 tahun 2004, karena hubungan hukum antar penggugat dengan tergugat didasarkan pada hubungan kemitraan kerja, bukan hubungan kerja, sehingga sudah tepat judex facti memberi putusan menyatakan pengadilan hubungan industrial tidak berwenang memeriksa, mengadili dan memutus perkara a quo.",0.964,0.367,0.532
"bahwa, terhadap memori kasasi tersebut, termohon kasasi telah mengajukan kontra memori kasasi tanggal 17 april 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. 30 maret 2020 dan kontra memori kasasi tanggal 17 april 2020 dihubungkan dengan pertimbangan judex facti dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. bahwa perjanjian kerja waktu tertentu (pkwt) yang ditetapkan bertentangan dengan ketentuan maka perjanjian kerja waktu tertentu (pkwt) berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) (vide pasal. (pkwt) sudah dibuat sebagaimana ketentuan pasal 1320 kitab undang undang hukum perdata tidak dapat dipertimbangkan karena perjanjian kerja waktu tertentu (pkwt) harus dibuat menurut ketentuan yang berlaku (vide pasal 59 undang undang nomor 13 tahun 2003);. - bahwa perjanjian kerja waktu tertentu (pkwt) yang dilakukan penggugat dengan tergugat telah ditetapkan berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) dan kemudian penggugat diputus hubungan kerjanya maka penggugat tidak berhak atas upah proses;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri bandung dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt ewindo, tersebut harus ditolak dengan perbaikan;","mahkamah agung berpendapat bahwa dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung tidak salah menerapkan hukum. meskipun demikian mahkamah agung perlu memperbaiki pertimbangan dan amar putusan judex facti bahwa perjanjian kerja waktu tertentu (pkwt) yang dilakukan penggugat dengan tergugat telah ditetapkan berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) dan kemudian penggugat diputus hubungan kerjanya maka penggugat tidak berhak atas upah proses dan karena penggugat tidak berhak atas upah proses maka diperbaiki sehingga jumlah kompensasi untuk penggugat yang benar adalah sejumlah rp69.920.578,00 (enam puluh sembilan juta sembilan ratus dua puluh ribu lima ratus tujuh puluh delapan rupiah).",0.598,0.307,0.405
"bahwa, terhadap memori kasasi tersebut, termohon kasasi telah mengajukan kontra memori kasasi tanggal 17 april 2020 yang pada pokoknya menolak permohonan kasasi dari pemohon kasasi;. 30 maret 2020 dan kontra memori kasasi tanggal 17 april 2020 dihubungkan dengan pertimbangan judex facti dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. bahwa perjanjian kerja waktu tertentu (pkwt) yang ditetapkan bertentangan dengan ketentuan maka perjanjian kerja waktu tertentu (pkwt) berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) (vide pasal. (pkwt) sudah dibuat sebagaimana ketentuan pasal 1320 kitab undang undang hukum perdata tidak dapat dipertimbangkan karena perjanjian kerja waktu tertentu (pkwt) harus dibuat menurut ketentuan yang berlaku (vide pasal 59 undang undang nomor 13 tahun 2003);. - bahwa perjanjian kerja waktu tertentu (pkwt) yang dilakukan penggugat dengan tergugat telah ditetapkan berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) dan kemudian penggugat diputus hubungan kerjanya maka penggugat tidak berhak atas upah proses;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri bandung dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi pt ewindo, tersebut harus ditolak dengan perbaikan;","mahkamah agung berpendapat bahwa dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung tidak salah menerapkan hukum. meskipun demikian mahkamah agung perlu memperbaiki pertimbangan dan amar putusan judex facti bahwa perjanjian kerja waktu tertentu (pkwt) yang dilakukan penggugat dengan tergugat telah ditetapkan berubah menjadi perjanjian kerja waktu tidak tertentu (pkwtt) dan kemudian penggugat diputus hubungan kerjanya maka penggugat tidak berhak atas upah proses dan karena penggugat tidak berhak atas upah proses maka diperbaiki sehingga jumlah kompensasi untuk penggugat yang benar adalah sejumlah rp69.920.578,00 (enam puluh sembilan juta sembilan ratus dua puluh ribu lima ratus tujuh puluh delapan rupiah).",0.598,0.307,0.405
"bahwa penggugat dalam surat gugatannya mendudukkan suryanto, hrd pt security phisik dinamika, selaku tergugat. padahal suryanto bukan direksi dari perseroan melainkan hrd tanpa ada kuasa khusus substitusi dari direksi perseroan untuk mewakili perseoran dalam perselisihan antara pemohon kasasi dengan termohon kasasi di pengadilan hubungan industrial., sehingga tidak memenuhi ketentuan pasal 98 ayat (1) undang undang nomor 40 tahun 2007 tentang perseroan terbatas yang merupakan direksi bertindak atas nama perseroan di dalam dan di luar pengadilan;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri bandung dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi heara halawa tersebut harus ditolak;","mahkamah agung berpendapat dalam hal ini pengadilan hubungan industrial pada pengadilan negeri bandung telah benar menerapkan hukum dalam putusan verzet menyatakan gugatan penggugat sekarang pemohon kasasi tidak dapat diterima dengan pertimbangan bahwa penggugat dalam surat gugatannya mendudukkan suryanto, hrd pt security phisik dinamika, selaku tergugat. padahal suryanto bukan direksi dari perseroan melainkan hrd tanpa ada kuasa khusus substitusi dari direksi perseroan untuk mewakili perseoran dalam perselisihan antara pemohon kasasi dengan termohon kasasi di pengadilan hubungan industrial., sehingga tidak memenuhi ketentuan pasal 98 ayat (1) undang undang nomor 40 tahun 2007 tentang perseroan terbatas yang merupakan direksi bertindak atas nama perseroan di dalam dan di luar pengadilan.",0.858,0.784,0.820
"bahwa alasan tersebut tidak dapat dibenarkan, oleh karena setelah meneliti memori kasasi tanggal 6 maret 2020 dan kontra memori kasasi tanggal 2 april 2020 dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri medan tidak salah menerapkan hukum dengan pertimbangan sebagai berikut:. - bahwa pertimbangan hukum putusan judex facti yang mengabulkan gugatan penggugat dapat dibenarkan, karena berdasarkan fakta-fakta dalam perkara a quo judex facti telah memberikan pertimbangan yang cukup;. membayarkan hak-hak penggugat sebagaimana yang telah dipertimbangkan oleh judex facti dalam perkara a quo telah tepat dan benar serta tidak bertentangan dengan hukum;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri medan dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi: pt nubika jaya tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini di bawah rp 150.000.000,00 (seratus lima puluh juta rupiah), sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada negara;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri medan tidak salah menerapkan hukum karena pertimbangan hukum putusan judex facti dapat dibenarkan dan memberikan pertimbangan yang cukup. selain itu, penggugat juga terbukti mengalami sakit secara terus menerus dan berkepanjangan, sehingga pengakhiran hubungan kerja antara penggugat dengan tergugat dilakukan berdasarkan ketentuan pasal 172 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan yang mewajibkan kepada tergugat untuk membayarkan hak-hak penggugat sebagaimana yang telah dipertimbangkan oleh judex facti dalam perkara a quo telah tepat dan benar serta tidak bertentangan dengan hukum.",0.689,0.341,0.456
"undang undang nomor 13 tahun 2003 tentang ketenagakerjaan oleh karena penggugat diputus hubungan kerjanya oleh tergugat karena penggugat melakukan pelanggaran disiplin yaitu masalah kedisiplinan kehadiran dan sudah mendapatkan surat peringatan ke iii serta masalah kinerja yang tidak mencapai standar;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri serang dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, maka permohonan kasasi yang diajukan oleh pemohon kasasi pt sarana meditama internasional (r.s. omni alam sutra) dan/atau pt sarana meditama metropolitan tbk.,, tersebut harus ditolak dengan perbaikan;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini rp150.000.000,00 (seratus lima puluh juta rupiah) ke atas, sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada pemohon kasasi;","mahkamah agung berpendapat dalam hal ini pengadilan hubungan industrial pada pengadilan negeri serang tidak salah menerapkan hukum. namun demikian mahkamah agung memperbaiki amar kelima tentang pembebanan biaya perkara, semula menghukum penggugat menjadi menghukum tergugat untuk membayar biaya perkara karena dalam perkara aquo pihak yang dimenangkan adalah penggugat.",0.468,0.159,0.238
"bahwa alasan-alasan permohonan kasasi dari pemohon kasasi tersebut tidak dapat dibenarkan, oleh karena setelah membaca dan meneliti memori kasasi tanggal 13 maret 2019 dan kontra memori kasasi tanggal 29. maret 2019, dihubungkan dengan pertimbangan judex facti, dalam hal ini pengadilan hubungan industrial pada pengadilan negeri surabaya telah benar menerapkan hukum menyatakan gugatan penggugat sekarang pemohon kasasi tidak dapat diterima, dengan pertimbangan sebagai berikut:. 1. bahwa penggugat sekarang pemohon kasasi hanya menggugat pemimpin cabang genteng pt wom finance dan tidak menggugat pt wom finance selaku badan hukum yang diwakili oleh direksi sesuai ketentuan pasal 94 undang undang nomor 40 tahun 2007 tentang. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri surabaya dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, sehingga permohonan kasasi yang diajukan oleh pemohon kasasi jimmy wahyudi tersebut harus ditolak;. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini rp150.000.000,00 (seratus lima puluh juta rupiah) ke atas, sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka biaya perkara dalam tingkat kasasi ini dibebankan kepada pemohon kasasi;","mahkamah agung berpendapat bahwa dalam hal ini pengadilan hubungan industrial pada pengadilan negeri surabaya telah benar menerapkan hukum menyatakan gugatan penggugat sekarang pemohon kasasi tidak dapat diterima. pertimbangannya yakni penggugat sekarang pemohon kasasi hanya menggugat pemimpin cabang genteng pt wom finance dan tidak menggugat pt wom finance selaku badan hukum yang diwakili oleh direksi sesuai ketentuan pasal 94 undang undang nomor 40 tahun 2007 tentang perseroan terbatas, bukan pimpinan cabang. pimpinan cabang genteng tidak dapat bertindak mewakili perseroan terbatas tanpa ada kuasa dari direksi perseroan terbatas, sehingga penggugat harus menggugat perseroan terbatas/tergugat selaku badan hukum.",0.688,0.357,0.470
bahwa penggugat terbukti tidak melaksanakan tugas dan tanggungjawabnya sebagai dosen sebagaimana diatur dalam statuta sekolah tinggi keguruan dan ilmu pendidikan (stkip) kieraha ternate (vide bukti t-6) maka adalah patut dan adil penggugat diputus hubungan kerjanya karena melakukan pelanggaran terhadap statuta sekolah tinggi keguruan dan ilmu pendidikan (stkip) kieraha ternate dan tidak melaksanakan tugas dan kewajibannya sebagai dosen (vide pasal 161 ayat (1) undang undang nomor 13 tahun 2003);. bahwa penggugat yang melanggar statuta sekolah tinggi keguruan dan ilmu pendidikan (stkip) kieraha ternate dan tidak melaksanakan tugas dan kewajibannya sebagai dosen maka penggugat berhak atas kompensasi dengan perhitungan :,mahkamah agung berpendapat setelah meneliti memori kasasi dan kontra memori kasasi dihubungkan dengan pertimbangan judex facti maka pengadilan hubungan industrial pada pengadilan negeri ternate tidak salah menerapkan hukum. namun mahkamah agung memperbaiki pertimbangan dan amar judex facti tentang kompensasi pemutusan hubungan kerja untuk penggugat.,0.205,0.092,0.127
"bahwa judex facti telah benar menjatuhkan putusan pengadilan hubungan industrial tidak berwenang memeriksa perkara a quo, karena sesuai ketentuan pasal 1 angka 2 dan 6 undang undang nomor 40 tahun. karenanya sesuai ketentuan pasal 56 undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial perkara a quo bukan kewenangan pengadilan hubungan industrial untuk memeriksa, mengadili dan memutusnya;. menimbang, bahwa berdasarkan pertimbangan tersebut di atas, ternyata bahwa putusan pengadilan hubungan industrial pada pengadilan negeri jakarta pusat dalam perkara ini tidak bertentangan dengan hukum dan/atau undang-undang, maka permohonan kasasi yang diajukan oleh pemohon kasasi wd hotman simanjuntak, s.e., tersebut harus. menimbang, bahwa oleh karena nilai gugatan dalam perkara ini rp150.000.000,00 (seratus lima puluh juta rupiah) ke atas, sebagaimana ditentukan dalam pasal 58 undang undang nomor 2 tahun 2004, maka","mahkamah agung memberikan pendapat bahwa pengadilan hubungan industrial pada pengadilan negeri jakarta pusat tidak salah menerapkan hukum karena dalam judex facti telah memberikan pertimbangan yang cukup. judex facti telah benar menjatuhkan putusan pengadilan hubungan industrial tidak berwenang memeriksa perkara a quo, karena sesuai ketentuan pasal 1 angka 2 dan 6 undang undang nomor 40 tahun 2007 tentang peseroan terbatas, penggugat sebagai komisaris peseroan tergugat adalah organ perseroan, sehingga antara penggugat dengan tergugat tidak ada hubungan kerja sebagaimana dimaksud ketentuan pasal 1 angka 15 undang undang nomor 13 tahun 2003 tentang ketenagakerjaan karenanya sesuai ketentuan pasal 56 undang undang nomor 2 tahun 2004 tentang penyelesaian perselisihan hubungan industrial perkara a quo bukan kewenangan pengadilan hubungan industrial untuk memeriksa, mengadili dan memutusnya.",0.667,0.593,0.627
"bahwa tergugat/termohon kasasi telah memberikan hak pensiun kepada penggugat/pemohon kasasi sesuai ketentuan pasal 167 ayat (1), (2) dan (3) undang undang nomor 13 tahun 2003 tentang ketenagakerjaan dengan total sebesar rp55.761.230,00 (lima puluh lima juta tujuh ratus enam puluh satu ribu dua ratus tiga puluh rupiah) dikurangi iuran premi program pensiun bpjs ketenagakerjaan yang dibayarkan tergugat sebesar rp1.890.000,00 (satu juta delapan ratus sembilan puluh ribu rupiah) sehingga sisa yang diterima oleh penggugat rp53.871.018,00 (lima puluh tiga juta delapan ratus tujuh puluh satu ribu delapan belas rupiah) telah tepat dan benar secara hukum;","mahkamah agung berpendapat bahwa pengadilan hubungan industrial pada pengadilan negeri medan tidak salah menerapkan hukum. hal ini dikarenakan termohon kasasi/tergugat memberikan hak pensiun kepada pemohon kasasi/penggugat sesuai dengan ketentuan pasal 167 ayat (1), (2) dan (3) undang-undang nomor 13 tahun 2003 tentang ketenagakerjaan dengan total sebesar rp55.761.230,00 dikurangi iuran premi program pensiun bpjs ketenagakerjaan sebesar rp1.890.000,00 sehingga sisa yang diterima oleh penggugat rp53.871.018,00 telah tepat dan benar secara hukum. selain itu, dalam phk antara pemohon kasasi/penggugat dan termohon kasasi/tergugat terdapat perjanjian bersama (pb) sesuai pasal 7 ayat (2) undang-undang nomor 2 tahun 2004 yang bersifat mengikat, menjadi hukum bagi para pihak.",0.560,0.631,0.594
